Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tn	Tc	Td	Tn-Trt	Tc-Trt	Tc-Tn	(Tn-Trt)/Td	(Tc-Trt)/ Td	(Tc-Tn)/ Td
8	1	18	3	49	82	1.574	1.106	1.631	2.014	3.416	-72	8	52	56	132	44	48	4	0.333333333	0.363636364	0.03030303
8	1	20	13	78	121	1.404	1.231	1.533	2.003	3.421	-28	40	80	96	172	40	56	16	0.23255814	0.325581395	0.093023256
8	1	29	1	107	134	1.662	1.183	1.82	2.145	3.63	-72	16	40	52	108	24	36	12	0.222222222	0.333333333	0.111111111
8	1	29	29	133	152	1.767	1.166	2.118	2.442	3.706	-52	16	32	36	76	16	20	4	0.210526316	0.263157895	0.052631579
8	1	43	1	148	161	2.675	0.894	1.575	3.348	5.292	-76	-24	16	28	52	40	52	12	0.769230769	1	0.230769231
8	1	47	47	186	200	2.59	1.022	1.995	3.42	5.055	-68	-20	24	28	56	44	48	4	0.785714286	0.857142857	0.071428571
8	1	53	53	187	205	1.886	1.256	2.03	2.44	3.79	-40	12	32	36	72	20	24	4	0.277777778	0.333333333	0.055555556
8	1	53	53	224	243	1.767	1.397	1.966	2.442	3.789	-36	16	36	44	76	20	28	8	0.263157895	0.368421053	0.105263158
8	1	57	1	189	220	1.653	0.765	1.882	2.427	3.666	-48	24	64	76	124	40	52	12	0.322580645	0.419354839	0.096774194
8	1	57	57	220	245	1.83	1.054	1.875	2.128	3.168	-84	4	36	32	100	32	28	-4	0.32	0.28	-0.04
8	1	62	53	205	222	1.974	0.985	1.883	2.869	4.395	-68	-4	32	40	68	36	44	8	0.529411765	0.647058824	0.117647059
8	1	65	57	220	248	1.835	0.982	1.65	2.185	3.323	-96	-12	48	64	112	60	76	16	0.535714286	0.678571429	0.142857143
8	1	70	1	227	255	1.496	1.164	1.829	1.907	2.782	-40	32	40	56	112	8	24	16	0.071428571	0.214285714	0.142857143
8	2	1	1	12	33	2.198	1.587	2.216	2.628	3.466	-40	4	36	44	84	32	40	8	0.380952381	0.476190476	0.095238095
