Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tn	Tc	Td	Tn-Trt	Tc-Trt	Tc-Tn	(Tn-Trt)/Td	(Tc-Trt)/ Td	(Tc-Tn)/ Td
4	3	31	31	83	96	2.06	2.06	1.789	2.453	3.325	--	-12	20	32	52	32	44	12	0.615384615	0.846153846	0.230769231
4	3	14	14	57	68	2.667	1.265	2.335	3.506	4.825	-48	-12	20	28	44	32	40	8	0.727272727	0.909090909	0.181818182
4	3	14	14	68	79	2.387	1.333	2.15	3.037	4.312	-44	-8	20	28	44	28	36	8	0.636363636	0.818181818	0.181818182
4	4	1	1	32	60	1.256	1.019	1.353	2.077	2.719	-80	8	64	84	112	56	76	20	0.5	0.678571429	0.178571429
4	3	3	3	9	41	1.603	2.122	2.007	2.037	3.683	--	44	48	96	128	4	52	48	0.03125	0.40625	0.375
4	3	35	31	83	95	2.05	1.789	1.681	2.822	3.661	--	-16	24	32	48	40	48	8	0.833333333	1	0.166666667
4	2	30	28	101	122	1.744	2.231	1.952	2.82	4.102	--	16	52	48	84	36	32	-4	0.428571429	0.380952381	-0.047619048
4	3	31	31	96	119	1.635	1.891	1.868	2.119	3.433	--	20	40	52	92	20	32	12	0.217391304	0.347826087	0.130434783
4	2	2	2	24	39	1.962	0.965	1.482	2.965	4.04	-60	-20	36	40	60	56	60	4	0.933333333	1	0.066666667
4	3	28	23	68	83	2.401	1.119	2.401	3.223	4.666	-56	0	32	36	60	32	36	4	0.533333333	0.6	0.066666667
4	1	1	1	18	31	2.787	1.44	1.995	3.558	5.445	-60	-20	20	28	52	40	48	8	0.769230769	0.923076923	0.153846154
4	3	1	1	120	147	1.821	2.065	1.877	2.453	3.929	--	4	48	76	108	44	72	28	0.407407407	0.666666667	0.259259259
4	3	1	1	80	95	2.021	1.544	1.892	2.558	3.31	-44	-4	32	40	60	36	44	8	0.6	0.733333333	0.133333333
4	4	1	1	13	32	2.037	2.037	2.067	2.333	2.933	--	-8	28	44	76	36	52	16	0.473684211	0.684210526	0.210526316
4	4	11	1	13	40	1.695	1.595	1.583	1.856	3.125	--	-24	32	64	108	56	88	32	0.518518519	0.814814815	0.296296296
4	2	11	2	11	26	1.965	1.862	1.74	2.485	3.531	--	-16	24	36	60	40	52	12	0.666666667	0.866666667	0.2
4	3	41	31	96	114	1.691	2.109	1.737	2.179	3.099	--	8	32	48	72	24	40	16	0.333333333	0.555555556	0.222222222
5	4	18	15	35	51	2.066	1.042	1.733	3.104	4.394	-60	-12	40	44	64	52	56	4	0.8125	0.875	0.0625
5	5	1	1	18	33	2.368	1.305	2.079	3.635	4.606	-60	-12	32	40	60	44	52	8	0.733333333	0.866666667	0.133333333
5	1	14	14	41	59	2.037	2.035	1.977	2.547	3.412	--	-4	32	48	72	36	52	16	0.5	0.722222222	0.222222222
