Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tc	Td	Tc-Trt	(Tc-Trt)/ Td
6	2	55	1	229	258	1.55	1.366	1.808	3.215	5.115	-24	16	80	116	64	0.551724138
6	2	55	55	258	273	2.47	1.116	2.15	3.468	5.574	-68	-12	28	60	40	0.666666667
6	2	60	55	258	268	2.536	1.078	2.466	3.551	4.123	-76	-4	28	40	32	0.8
6	2	61	1	253	286	1.366	1.101	1.848	2.711	5.436	-40	32	68	132	36	0.272727273
6	3	1	1	22	49	1.805	1.233	1.756	2.881	4.644	-76	-8	64	108	72	0.666666667
6	3	1	1	49	67	2.356	1.149	2.589	3.133	4.665	-80	8	32	72	24	0.333333333
6	3	1	1	86	100	2.833	1.315	2.291	3.864	6.205	-60	-16	24	56	40	0.714285714
6	3	1	1	100	116	2.865	1.4	2.769	3.942	5.836	-52	-4	32	64	36	0.5625
6	3	1	1	116	129	2.86	2.079	1.882	3.223	4.214	-28	-36	16	52	52	1
6	3	1	1	129	153	2.149	2.254	2.163	3.016	4.294	8	-8	56	96	64	0.666666667
6	3	1	1	153	170	2.127	1.239	1.965	2.666	4.064	-76	-12	28	68	40	0.588235294
6	3	1	1	170	193	2.123	1.284	2.187	3.698	5.539	-52	4	60	92	56	0.608695652
6	3	1	1	193	209	2.668	1.256	1.904	4.069	6.625	-72	-28	32	64	60	0.9375
6	3	1	1	209	218	3.195	2.85	2.481	4.018	4.655	-12	-20	24	36	44	1.222222222
6	3	1	1	218	230	2.379	2.287	2.073	3.346	3.857	-4	-12	36	48	48	1
6	3	1	1	230	247	1.786	2.05	1.983	3.111	3.998	16	12	48	68	36	0.529411765
6	3	1	1	247	264	2.036	1.062	2.271	3.608	4.484	-52	8	52	68	44	0.647058824
6	3	1	1	264	277	2.372	1.504	2.27	3.447	4.437	-40	-4	32	52	36	0.692307692
6	3	2	2	7	42	1.408	1.338	2.101	2.981	3.441	-20	68	120	140	52	0.371428571
6	3	2	2	42	63	1.654	1.282	2.303	3.137	3.676	-44	36	68	84	32	0.380952381
6	3	3	3	2	28	1.698	2.62	2.559	3.27	3.718	52	48	84	104	36	0.346153846
6	3	9	1	22	49	1.82	1.208	1.824	2.531	2.948	-80	-4	72	108	76	0.703703704
6	3	11	1	49	63	2.173	1.103	2.139	3.146	3.907	-72	-4	36	56	40	0.714285714
6	3	11	11	63	80	1.963	1.363	2.743	3.931	4.24	-36	24	60	68	36	0.529411765
6	3	18	18	91	105	1.915	1.663	2.555	3.264	3.929	-16	20	40	56	20	0.357142857
6	3	21	21	120	134	2.56	1.344	2.95	4.404	5.124	-44	12	44	56	32	0.571428571
6	3	26	26	125	137	1.965	2.158	2.041	2.985	3.391	8	4	36	48	32	0.666666667
6	3	26	26	137	154	1.639	1.074	2.277	2.658	3.404	-40	32	48	68	16	0.235294118
6	3	28	1	129	152	1.95	2.072	2.023	2.849	3.217	12	8	72	92	64	0.695652174
6	3	29	26	125	141	1.846	2.036	1.933	3.029	3.3	8	4	48	64	44	0.6875
6	3	31	26	137	153	1.654	1.084	2.375	2.817	3.14	-40	32	52	64	20	0.3125
6	3	33	1	153	168	2.023	1.327	2.022	3.026	3.755	-56	-4	40	60	44	0.733333333
6	3	37	1	170	186	1.844	1.047	2.002	3.076	3.584	-60	8	48	64	40	0.625
6	3	40	40	200	216	1.93	1.548	2.626	3.346	3.876	-20	28	52	64	24	0.375
6	3	46	46	216	230	2.312	2.456	2.208	4.06	4.615	4	-4	48	56	52	0.928571429
6	3	49	1	218	230	2.231	2.231	1.945	3.318	3.816	0	-12	36	48	48	1
