Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tc	Td	Tc-Trt	(Tc-Trt)/ Td
8	1	1	1	55	100	2.029	2.271	3.154	3.154	3.865	48	132	132	180	0	0
8	1	1	1	100	143	2.022	2.242	2.983	3.123	3.885	36	108	120	172	12	0.069767442
8	1	1	1	143	187	2.134	2.245	3.128	3.433	4.453	16	88	108	176	20	0.113636364
8	1	1	1	187	230	2.172	2.325	3.393	3.393	4.244	20	112	112	172	0	0
8	1	1	1	230	278	2.43	2.724	3.686	3.892	4.99	52	124	136	192	12	0.0625
8	1	8	1	15	51	1.958	2.006	2.709	2.986	3.708	12	80	100	144	20	0.138888889
8	1	8	8	51	98	1.776	1.963	2.846	2.846	3.585	24	124	124	188	0	0
8	1	11	1	55	94	1.985	2.048	3.066	3.066	3.888	8	100	100	156	0	0
8	1	11	11	94	129	1.868	1.907	2.822	2.864	3.652	8	92	96	140	4	0.028571429
8	1	11	11	129	169	1.767	1.986	2.817	2.929	3.532	28	120	128	160	8	0.05
8	1	13	11	94	144	2.02	2.04	3.076	3.151	3.773	4	132	140	200	8	0.04
8	1	15	1	100	149	1.844	1.906	2.871	3.102	4.161	8	112	132	196	20	0.102040816
8	1	15	15	149	182	2.037	2	2.795	2.94	3.846	-4	76	84	132	8	0.060606061
8	1	16	11	129	156	1.885	1.745	2.434	2.622	3.209	-16	56	68	108	12	0.111111111
8	1	17	1	143	188	1.752	1.819	2.619	2.886	3.857	8	92	116	180	24	0.133333333
8	1	17	17	188	236	1.912	2.026	2.967	3.211	3.976	24	116	140	192	24	0.125
8	1	19	15	149	182	2.124	2.191	2.941	3.434	3.987	8	76	104	132	28	0.212121212
8	1	22	1	187	225	2.281	2.563	3.557	3.469	4.37	28	104	100	152	-4	-0.026315789
8	1	22	22	225	277	2.072	2.301	3.163	3.44	4.352	36	136	156	208	20	0.096153846
8	1	22	22	277	299	2.505	2.25	2.981	3.1	4.078	-24	40	48	88	8	0.090909091
8	1	26	22	225	267	2.298	2.482	3.367	3.512	4.105	24	104	116	168	12	0.071428571
8	1	27	1	230	272	1.814	1.945	2.919	2.996	3.812	20	120	124	168	4	0.023809524
8	2	1	1	102	145	2.438	1.914	2.801	3.167	4.444	-60	48	96	172	48	0.279069767
8	2	1	1	145	175	2.331	1.756	2.797	3.365	4.282	-56	40	80	120	40	0.333333333
8	2	1	1	175	204	2.419	1.972	2.871	2.938	4.006	-32	40	44	116	4	0.034482759
8	2	1	1	267	288	3.701	2.549	4.173	4.319	5.039	-88	36	44	84	8	0.095238095
8	2	2	2	74	100	2.098	1.588	2.386	2.772	3.689	-52	24	56	104	32	0.307692308
8	2	3	3	35	75	1.988	1.795	3.251	3.38	4.169	-16	96	108	160	12	0.075
8	2	10	3	35	71	1.809	1.833	2.716	2.716	3.722	4	84	84	144	0	0
8	2	11	2	74	95	2.284	1.763	2.79	2.98	3.78	-48	36	44	84	8	0.095238095
8	2	11	11	95	124	1.957	1.912	2.925	3.106	3.81	-4	72	84	116	12	0.103448276
8	2	15	1	102	142	2.252	1.712	2.55	3.038	4.537	-68	40	92	160	52	0.325
8	2	15	15	142	162	2.319	1.553	2.281	2.94	3.702	-68	-4	36	80	40	0.5
8	2	15	15	162	189	1.913	1.743	2.62	2.779	3.651	-16	56	72	108	16	0.148148148
8	2	16	2	100	134	1.887	1.981	2.812	3.209	4.021	12	84	108	136	24	0.176470588
8	2	20	15	142	165	2.218	1.464	2.283	2.899	3.586	-72	4	52	92	48	0.52173913
8	2	21	1	145	173	2.113	1.642	2.542	2.721	4.065	-48	28	48	112	20	0.178571429
