Pos	Channel	Cell	MothCell	BirthFr	DivFr	Lb	Lri	Lrt	Lc	Ld	Tri	Trt	Tn	Tc	Td	Tn-Trt	Tc-Trt	Tc-Tn	(Tn-Trt)/Td	(Tc-Trt)/ Td	(Tc-Tn)/ Td
10	2	1	1	99	162	1.203	1.387	2.082	2.231	2.763	68	192	208	208	252	16	16	0	0.063492063	0.063492063	0
10	2	17	1	64	114	1.58	0.881	2.331	2.608	3.056	-156	96	144	164	200	48	68	20	0.24	0.34	0.1
11	5	1	1	19	49	1.73	1.595	2.274	2.42	2.791	-16	64	80	88	120	16	24	8	0.133333333	0.2	0.066666667
11	5	1	1	50	106	1.285	1.392	2.002	2.066	2.193	48	148	164	188	224	16	40	24	0.071428571	0.178571429	0.107142857
11	5	1	1	106	168	1.112	1.177	1.292	1.481	2.161	40	148	168	176	248	20	28	8	0.080645161	0.112903226	0.032258065
11	5	2	2	17	61	1.339	1.534	2.231	2.235	2.884	20	108	120	124	176	12	16	4	0.068181818	0.090909091	0.022727273
11	5	3	3	23	56	1.624	1.571	2.565	2.644	3.37	-8	76	88	96	132	12	20	8	0.090909091	0.151515152	0.060606061
11	5	10	2	18	49	1.678	1.608	2.498	2.542	3.255	4	76	80	88	124	4	12	8	0.032258065	0.096774194	0.064516129
11	5	10	10	49	85	1.362	1.43	2.542	2.406	3.12	36	104	108	112	144	4	8	4	0.027777778	0.055555556	0.027777778
11	5	11	1	20	54	1.565	1.608	2.191	2.233	2.677	-16	56	68	92	136	12	36	24	0.088235294	0.264705882	0.176470588
11	5	11	11	54	99	1.278	1.595	2.322	2.475	2.699	44	132	148	140	180	16	8	-8	0.088888889	0.044444444	-0.044444444
11	5	12	3	22	60	1.535	1.534	2.454	2.666	2.525	-4	88	116	128	152	28	40	12	0.184210526	0.263157895	0.078947368
11	5	16	1	50	106	1.517	1.698	2.066	2.371	3.515	36	132	152	176	224	20	44	24	0.089285714	0.196428571	0.107142857
11	5	16	16	104	137	1.724	0.852	1.456	2.134	2.425	-168	-28	96	92	132	124	120	-4	0.939393939	0.909090909	-0.03030303
11	5	18	11	54	98	1.4	1.599	2.742	2.796	3.35	32	128	136	136	176	8	8	0	0.045454545	0.045454545	0
12	2	1	1	32	76	1.808	1.509	1.932	2.217	2.605	24	108	140	136	176	32	28	-4	0.181818182	0.159090909	-0.022727273
12	2	1	1	74	146	1.358	1.116	1.334	1.818	2.16	44	168	244	248	288	76	80	4	0.263888889	0.277777778	0.013888889
12	2	12	1	30	83	1.074	1.124	1.752	2.031	2.602	8	120	152	172	212	32	52	20	0.150943396	0.245283019	0.094339623
12	2	12	12	71	132	1.092	1.611	2.159	2.106	2.655	64	200	204	184	244	4	-16	-20	0.016393443	-0.06557377	-0.081967213
12	2	13	1	74	132	1.163	1.641	2.15	2.242	2.739	72	144	168	180	232	24	36	12	0.103448276	0.155172414	0.051724138
12	3	1	1	34	100	1.474	1.632	2.076	2.12	2.447	28	160	184	192	264	24	32	8	0.090909091	0.121212121	0.03030303
12	3	15	1	34	90	1.023	1.097	1.877	1.897	2.493	52	168	176	188	224	8	20	12	0.035714286	0.089285714	0.053571429
12	3	15	15	93	136	1.607	1.205	1.885	2.185	2.612	-16	76	124	124	172	48	48	0	0.279069767	0.279069767	0
12	3	16	1	99	203	1.369	1.542	2.633	2.826	3.481	156	328	352	336	416	24	8	-16	0.057692308	0.019230769	-0.038461538
12	4	2	2	36	115	1.666	1.478	1.986	2.154	3.028	-8	184	244	252	316	60	68	8	0.189873418	0.215189873	0.025316456
12	5	1	1	33	96	1.425	1.267	2.259	2.455	3.087	-28	184	200	208	252	16	24	8	0.063492063	0.095238095	0.031746032
12	5	1	1	96	148	1.356	1.356	1.587	1.849	2.213	0	96	148	160	208	52	64	12	0.25	0.307692308	0.057692308
12	5	2	2	41	98	1.538	1.633	2.303	2.597	3.079	20	128	172	180	228	44	52	8	0.192982456	0.228070175	0.035087719
12	5	2	2	98	160	1.589	1.734	2.375	2.399	2.727	28	160	164	204	248	4	44	40	0.016129032	0.177419355	0.161290323
12	5	3	3	41	96	1.635	1.704	2.408	2.491	3.007	20	132	156	172	220	24	40	16	0.109090909	0.181818182	0.072727273
12	5	4	4	47	77	1.619	1.703	2.199	2.139	2.642	16	80	92	100	120	12	20	8	0.1	0.166666667	0.066666667
12	5	5	5	23	47	1.99	1.676	2.219	2.558	3.384	-32	32	56	72	96	24	40	16	0.25	0.416666667	0.166666667
12	5	14	1	34	87	1.434	1.677	2.247	2.422	3.05	52	144	160	164	212	16	20	4	0.075471698	0.094339623	0.018867925
12	5	14	14	86	160	1.64	1.678	2.54	2.852	3.085	52	184	240	244	296	56	60	4	0.189189189	0.202702703	0.013513514
